Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1.306,-1.350,10.266,-57.866,-7.927,6.098
1.098,-1.298,10.029,-54.939,-11.037,6.951
1.135,-1.321,10.092,-48.110,-11.707,4.390
1.109,-1.396,10.019,-39.634,-7.012,0.183
0.402,-1.390,9.901,-25.305,-0.549,-3.171
-0.171,-1.346,9.889,-13.476,3.902,-5.488
0.432,-1.605,9.749,-8.963,8.415,-6.768
1.006,-1.846,9.662,-0.732,16.890,-10.793
0.976,-1.541,10.126,-3.476,14.024,-13.598
0.936,-1.636,10.241,-3.537,1.768,-9.207
0.447,-1.696,10.130,-1.159,-7.439,-3.232
-0.063,-1.420,10.263,2.073,-9.451,-0.305
-0.256,-1.344,10.264,4.146,-8.110,-1.341
-0.163,-1.438,10.180,7.378,-9.939,-3.537
0.089,-1.484,10.168,8.415,-11.341,-4.695
0.170,-1.499,10.095,11.951,-11.524,-8.049
-0.028,-1.451,10.146,10.976,-12.195,-11.220
-0.297,-1.346,10.307,14.024,-8.841,-12.805
-0.030,-1.462,10.205,18.598,-3.171,-13.720
0.335,-1.481,10.193,20.976,0.000,-13.110
0.209,-1.376,10.192,23.780,-2.134,-11.524
0.117,-1.343,10.311,24.329,-5.732,-11.585
-0.014,-1.346,10.192,27.073,-9.207,-10.854
-0.119,-1.376,9.836,26.768,-14.207,-8.537
-0.025,-1.490,9.540,25.244,-15.305,-8.232
0.098,-1.489,9.514,25.000,-12.134,-10.427
0.117,-1.443,9.680,25.854,-10.000,-13.537
-0.157,-1.210,10.133,24.878,-9.451,-15.976
-0.418,-1.076,10.087,29.634,-7.561,-15.610
-0.548,-1.273,9.568,32.378,-6.890,-12.866
-0.597,-1.041,9.476,29.695,-7.195,-7.866
-0.120,-1.137,9.188,29.939,-5.915,-4.207
0.269,-1.296,9.217,29.024,-4.329,-5.183
0.268,-1.054,9.512,28.232,-5.488,-8.171
0.016,-1.232,9.672,28.232,-13.415,-5.488
-0.002,-1.334,9.770,25.854,-20.793,-0.610
0.010,-1.249,9.928,25.793,-17.439,-0.305
-0.172,-1.137,9.926,27.561,-10.488,-1.524
-0.430,-1.067,9.855,27.988,-0.488,-2.317
-0.291,-1.208,9.512,29.634,11.707,-1.159
0.002,-1.346,9.178,26.463,14.756,4.817
-0.037,-1.158,9.351,23.476,12.439,6.951
0.064,-0.922,9.515,22.439,10.854,6.951
0.233,-0.959,9.410,21.890,6.159,12.988
0.120,-1.323,9.373,21.829,2.012,19.024
0.332,-1.538,9.371,18.659,-1.280,17.500
0.423,-1.630,9.325,11.646,-4.512,12.744
0.457,-1.444,9.487,5.549,-5.427,10.000
0.925,-1.476,9.450,2.012,-4.939,7.317
1.170,-1.627,9.435,-1.890,-8.110,4.451
1.247,-1.500,9.718,-8.232,-11.951,3.902
1.273,-1.453,9.936,-10.366,-12.988,3.476
1.074,-1.389,10.144,-10.915,-9.268,1.280
1.457,-1.568,10.260,-10.915,5.610,-0.427
1.717,-1.662,9.767,-10.244,20.915,0.915
1.201,-1.378,9.725,-8.963,25.610,-0.122
1.028,-1.411,9.960,-14.573,21.707,-0.793
0.936,-1.526,9.893,-18.841,18.902,-0.732
0.763,-1.528,9.516,-16.768,16.524,-2.256
0.627,-1.530,9.280,-23.293,6.463,-2.439
0.991,-1.813,9.227,-28.293,-2.378,-4.512
1.001,-1.876,9.264,-32.866,-1.829,-10.488
0.609,-1.481,9.776,-41.951,-7.317,-11.524
0.660,-1.471,10.224,-43.232,-15.793,-6.098
0.637,-1.304,10.335,-38.049,-10.915,-2.805
0.436,-1.086,10.197,-41.280,2.439,-0.854
0.543,-1.337,9.779,-40.427,14.695,-1.402
0.572,-1.151,9.766,-37.500,23.171,-4.329
0.410,-0.939,10.200,-38.963,27.683,-5.854
0.174,-0.998,10.628,-32.927,25.793,-1.951
0.132,-0.928,10.913,-22.195,19.451,5.122
0.023,-0.660,11.053,-17.683,15.915,10.427
-0.203,-0.738,10.769,-23.110,9.329,12.256
-0.276,-0.924,10.139,-14.878,2.500,11.402
-0.293,-0.852,9.966,-11.524,2.256,6.890
-0.299,-0.794,9.926,-12.439,5.427,2.866
-0.145,-0.868,9.892,-8.110,7.012,1.829
-0.168,-0.846,9.929,-4.329,8.598,0.671
-0.312,-1.017,9.999,-2.927,4.695,1.707
-0.256,-0.949,10.478,-1.098,1.768,3.171
-0.105,-0.830,10.865,3.354,8.659,2.439
-0.032,-0.898,10.721,11.220,14.695,4.634
0.119,-1.053,10.208,16.280,15.610,7.805
0.544,-1.383,9.656,19.024,13.841,6.524
0.840,-1.574,9.491,21.159,6.159,3.963
0.827,-1.539,9.713,18.537,-5.244,2.378
0.478,-1.501,10.106,17.561,-14.207,0.488
-0.077,-1.234,10.517,15.488,-14.939,0.610
-0.087,-1.208,10.590,16.098,-5.305,1.159
0.283,-1.308,10.223,31.280,9.329,1.524
0.586,-1.360,9.858,34.085,12.622,3.049
0.934,-1.583,9.722,28.902,6.341,3.659
0.995,-1.704,9.884,29.939,-1.220,5.183
0.934,-1.403,10.191,29.939,-5.000,4.634
1.020,-1.325,10.242,29.634,-5.854,4.512
1.171,-1.422,10.157,34.817,-9.146,6.037
0.968,-1.324,10.221,36.585,-14.024,6.829
0.795,-1.375,10.418,34.146,-15.549,5.793
1.061,-1.744,10.275,37.073,-13.415,6.159
0.912,-1.699,9.946,38.476,-10.976,5.732
0.424,-1.396,9.989,30.061,-9.024,3.415
0.706,-1.545,9.635,29.207,1.037,0.915
1.063,-1.466,9.206,30.488,13.049,-1.463
1.155,-1.337,9.465,24.634,11.402,-4.512
1.231,-1.386,9.788,21.768,-0.793,-5.732
1.100,-1.183,9.856,19.329,-11.280,-7.012
0.620,-0.901,10.218,17.988,-11.768,-7.378
0.714,-0.772,10.117,20.305,-5.183,-9.756
0.604,-0.893,9.579,24.573,-1.098,-10.305
0.379,-0.758,9.692,22.134,-3.720,-7.378
0.757,-0.927,9.965,18.537,-4.329,-9.756
1.088,-0.995,10.194,16.402,-2.317,-16.768
1.090,-1.035,10.299,10.610,-3.049,-23.415
0.821,-0.819,10.393,2.378,-5.671,-24.390
0.691,-0.762,10.126,5.915,-7.988,-19.207
0.481,-0.831,9.649,15.488,-8.110,-14.268
0.011,-0.737,9.272,12.378,-10.976,-10.366
0.254,-0.556,9.376,3.537,-17.683,-9.085
0.493,-0.551,9.701,-1.585,-20.793,-11.341
0.130,-0.477,9.971,-0.610,-20.671,-13.049
0.005,-0.460,9.789,1.098,-13.902,-13.720
0.160,-0.420,9.431,5.122,-4.268,-14.451
0.194,-0.329,9.580,5.854,-1.585,-11.951
0.329,-0.770,9.563,3.780,-2.683,-9.329
0.084,-0.977,9.455,1.220,-1.220,-11.890
-0.248,-0.694,9.422,-3.476,-2.317,-13.598
0.016,-0.709,9.325,-8.354,-4.329,-12.500
0.279,-0.716,9.124,-10.915,-4.939,-10.610
-0.009,-0.782,9.154,-12.317,-10.610,-7.927
-0.199,-0.696,9.199,-18.049,-16.524,-6.951
-0.157,-0.641,9.272,-22.561,-21.585,-6.768
0.047,-0.554,9.428,-25.427,-23.110,-6.341
-0.177,-0.413,9.759,-26.159,-13.415,-6.829
0.344,-0.491,10.081,-21.341,-1.890,-7.561
1.007,-0.849,9.761,-17.073,7.744,-6.951
0.614,-0.912,9.670,-13.720,9.146,-6.768
0.059,-0.800,9.776,-16.037,1.890,-4.573
-0.187,-0.763,9.849,-19.512,0.366,-2.439
-0.090,-0.777,10.027,-14.634,5.671,-1.280
0.177,-0.566,10.216,-13.598,13.780,-2.561
0.457,-0.748,10.174,-19.817,14.756,-2.622
0.223,-0.910,9.793,-21.585,10.793,-1.098
0.005,-0.781,9.691,-23.354,5.915,-0.366
0.314,-0.818,10.054,-25.671,2.744,-0.122
0.448,-0.969,10.152,-22.744,5.183,-0.427
0.256,-0.867,10.203,-25.610,6.707,-1.220
0.335,-0.880,10.258,-30.915,4.085,-0.061
0.408,-0.970,10.327,-30.793,4.207,2.012
0.472,-0.867,10.431,-27.988,3.902,3.841
0.463,-0.916,10.436,-27.805,-1.341,5.000
0.543,-1.013,10.161,-27.805,-5.122,6.463
0.523,-1.169,9.778,-26.646,-6.280,5.671
0.214,-1.037,9.782,-23.171,-8.354,3.841
0.015,-0.728,9.857,-22.561,-11.585,4.146
0.010,-0.800,10.034,-18.902,-12.012,5.549
0.096,-0.922,9.746,-18.841,-6.098,4.695
0.245,-1.020,9.515,-20.488,1.524,4.146
0.283,-0.997,9.499,-17.622,6.585,4.634
0.631,-1.183,9.513,-16.159,7.622,5.549
1.026,-1.128,9.695,-15.000,6.890,6.280
1.208,-1.038,9.795,-12.439,7.317,6.524
1.225,-1.009,9.795,-7.927,7.195,5.000
0.679,-0.923,10.329,-5.976,3.963,5.488
0.378,-0.847,10.730,-2.012,8.171,7.500
0.769,-0.871,10.285,6.951,17.500,10.366
1.242,-1.180,9.710,13.293,19.146,12.683
1.253,-1.338,9.896,9.817,11.402,11.951
1.048,-1.161,10.593,9.512,2.805,10.366
1.030,-1.146,10.826,10.915,-0.366,8.476
1.241,-1.276,10.410,17.622,1.524,7.561
1.273,-1.317,10.055,18.841,2.439,6.220
0.874,-1.170,10.287,10.854,0.549,5.000
0.853,-1.215,10.363,21.037,5.976,3.841
0.905,-1.229,10.114,33.415,17.988,3.354
0.814,-1.048,10.243,29.756,20.366,7.378
1.344,-1.502,10.291,28.598,18.537,9.024
1.371,-1.417,10.138,30.244,17.500,2.805
1.130,-0.928,9.910,32.134,7.805,-1.707
1.140,-1.299,9.822,28.720,-14.329,0.183
0.583,-1.292,10.209,24.329,-25.976,0.671
0.292,-1.313,10.889,20.183,-16.280,-3.354
1.024,-1.551,10.849,25.061,2.744,-7.744
1.390,-1.568,10.341,32.744,10.427,-8.659
1.132,-1.364,9.933,27.134,8.902,-10.000
1.103,-1.402,9.451,20.915,5.610,-9.695
1.112,-1.474,9.051,21.585,3.963,-7.439
0.758,-1.353,9.576,19.695,1.159,-6.159
0.516,-1.083,9.992,16.098,-6.829,-3.659
0.967,-1.290,9.774,16.463,-7.134,-1.280
0.918,-1.431,9.434,16.463,-2.500,-0.549
0.752,-1.607,9.321,16.402,-4.329,-0.549
0.609,-1.274,9.456,16.768,-4.207,-3.232
0.728,-1.343,9.416,12.012,-4.329,-4.390
1.013,-1.426,9.536,7.012,-2.378,-8.354
1.006,-1.213,9.765,4.756,-1.829,-11.951
0.836,-1.055,9.754,4.268,-1.585,-13.354
0.868,-1.024,9.506,4.146,1.341,-13.110
0.783,-0.949,9.561,4.085,0.732,-11.402
0.687,-0.977,9.682,2.683,-3.415,-9.756
0.610,-0.836,9.722,-0.061,-4.512,-10.427
0.333,-0.450,10.019,-1.341,-2.683,-12.744
0.299,-0.224,10.262,0.854,-4.146,-13.110
0.367,-0.362,10.394,1.402,-8.720,-11.646
0.236,-0.408,10.284,1.463,-11.402,-10.915
-0.001,-0.336,10.254,2.927,-9.939,-10.488
-0.331,-0.211,10.413,1.890,-5.061,-8.902
-0.958,0.111,10.437,4.024,0.549,-4.207
-0.948,0.281,10.397,5.122,4.329,1.646
-0.211,-0.058,10.160,5.305,7.195,3.659
0.071,-0.029,9.945,5.732,5.305,2.988
0.075,-0.124,9.876,5.305,-1.098,2.500
-0.151,-0.184,9.634,6.159,-8.537,2.744
-0.519,-0.301,9.640,5.488,-13.659,3.415
-0.863,-0.096,9.961,2.683,-10.183,1.951
-0.777,-0.081,9.972,5.244,2.500,2.744
-0.737,-0.137,9.737,8.293,12.622,5.244
-0.726,-0.186,9.383,7.073,18.537,9.634
-0.372,-0.640,9.247,7.439,23.415,13.110
0.221,-0.792,9.245,7.378,18.049,11.402
0.501,-0.590,9.454,0.000,4.634,8.902
0.341,-0.597,9.373,-3.598,-5.610,10.000
0.180,-0.707,9.322,-3.537,-10.549,10.793
0.395,-0.646,9.793,-4.634,-9.451,9.634
0.421,-0.478,10.312,-4.329,-3.049,9.390
0.385,-0.557,10.310,-3.537,5.061,10.305
0.800,-0.903,9.972,0.122,9.207,11.707
0.879,-0.980,9.869,0.549,9.451,11.098
0.897,-0.873,9.898,-3.293,8.049,9.024
1.098,-1.017,9.723,-3.902,6.402,7.866
1.041,-0.871,9.885,-6.951,6.402,6.341
0.996,-0.766,9.968,-7.927,4.268,6.098
0.737,-0.771,9.758,-6.890,-0.488,6.829
0.460,-0.712,9.682,-9.878,-3.780,7.256
0.458,-0.741,9.824,-12.134,-2.561,8.598
0.521,-0.763,9.975,-12.622,3.354,9.085
0.558,-0.856,9.716,-9.878,7.256,9.207
0.432,-0.867,9.512,-8.171,5.000,10.305
0.302,-0.770,9.474,-11.829,4.207,10.000
0.327,-0.784,9.451,-12.012,6.463,9.878
0.570,-0.882,9.265,-8.415,5.305,9.085
0.766,-1.001,9.556,-14.329,0.244,6.890
0.614,-0.932,9.844,-14.268,0.854,3.780
0.280,-0.844,9.807,-13.720,2.317,4.268
0.146,-0.829,9.756,-11.159,4.207,7.378
0.360,-1.035,9.678,-10.305,9.512,9.024
0.436,-1.089,9.817,-12.256,13.415,9.329
0.436,-0.956,10.174,-12.988,12.073,9.634
0.795,-1.113,10.139,-14.390,6.220,10.061
0.806,-1.234,10.026,-15.000,2.134,9.573
0.767,-1.313,9.972,-16.768,0.671,7.866
0.913,-1.355,9.959,-15.488,2.012,5.305
0.755,-1.398,10.038,-20.305,3.049,4.451
0.454,-1.393,9.935,-20.061,0.976,5.610
0.468,-1.419,9.660,-16.220,-1.037,6.159
0.568,-1.482,9.785,-22.744,-2.439,4.939
0.470,-1.551,10.034,-30.000,-3.354,3.171
0.923,-1.482,9.984,-29.207,0.244,0.793
1.354,-1.495,9.943,-30.793,4.024,-2.927
1.332,-1.400,10.032,-32.439,2.683,-5.915
1.260,-1.445,9.850,-30.610,-1.037,-5.732
1.117,-1.426,9.840,-29.817,-8.171,-3.598
0.884,-1.505,10.030,-31.890,-13.476,-1.951
0.861,-1.425,10.263,-30.976,-12.561,-0.305
1.411,-1.581,10.186,-28.659,-12.073,1.220
1.707,-1.682,10.142,-29.695,-12.439,2.744
1.748,-1.644,10.019,-28.902,-15.793,6.280
1.245,-1.486,9.785,-26.159,-22.439,10.000
0.886,-1.440,9.695,-23.780,-30.854,9.451
0.877,-1.437,9.978,-26.524,-33.902,5.244
0.649,-1.352,10.380,-23.659,-25.671,0.610
0.735,-1.441,10.269,-16.341,-11.463,-3.110
0.816,-1.509,9.882,-8.415,2.561,-6.646
0.815,-1.507,9.703,-5.610,10.915,-9.146
0.946,-1.615,9.695,-5.610,13.902,-10.488
0.981,-1.438,9.977,-4.329,13.841,-13.110
1.111,-1.476,10.181,-3.232,6.341,-12.500
0.876,-1.425,10.414,-1.707,-0.183,-11.707
0.684,-1.397,10.435,2.256,0.122,-10.305
0.663,-1.472,10.120,6.159,1.829,-10.244
0.196,-1.320,10.247,7.317,0.549,-10.488
-0.004,-1.155,10.530,6.707,2.500,-10.427
0.457,-1.262,10.580,9.634,5.854,-9.512
0.626,-1.362,10.555,13.598,7.256,-8.963
0.594,-1.475,10.217,16.220,2.988,-8.902
0.599,-1.517,10.102,15.366,-3.110,-9.817
0.394,-1.567,10.067,17.927,-5.915,-9.939
0.334,-1.540,10.028,29.024,-6.463,-8.841
-0.139,-1.452,9.903,27.073,-6.829,-7.317
-0.185,-1.399,10.062,13.902,-10.549,-5.976
0.174,-1.326,10.305,18.780,-5.000,-4.756
0.630,-1.273,10.278,23.171,5.183,-6.159
0.791,-1.387,10.032,27.256,3.780,-5.610
0.397,-1.350,9.751,34.024,-2.988,-3.415
-0.172,-1.275,9.493,30.244,-5.000,-0.915
-0.365,-1.158,9.397,30.427,-2.927,1.707
0.025,-1.277,9.413,27.805,-4.634,3.049
0.318,-1.317,9.612,25.122,-6.280,2.561
0.245,-1.259,9.761,22.683,-8.049,0.488
-0.249,-0.989,9.958,22.500,-9.024,1.463
-0.138,-0.901,9.984,25.366,-5.488,3.476
0.051,-1.122,9.788,27.561,0.976,2.317
-0.411,-1.059,9.910,25.915,6.707,-1.098
-0.430,-0.795,9.938,26.463,5.549,0.488
0.013,-1.146,9.670,26.707,5.061,2.927
-0.068,-0.884,9.644,22.073,4.512,2.256
0.210,-0.628,9.456,22.561,-3.902,3.841
0.286,-0.969,9.306,24.146,-16.768,7.500
